,sub,baseMult,model,theta,phi,SSE,AIC,BIC,time
4,42,4,MP,0.10910173242404328,0.015226287869701613,545.0,153.7239865326454,158.38545321321806,1273.2416870594025
5,42,4,MP_ppSOE,0.18078095445803555,-0.08430688140160361,290.0,105.77521628475834,110.436682965331,1132.3582990169525
6,42,6,GR,,,16847.0,410.2603653153492,410.2603653153492,0.0
7,42,6,GA,539.5222041492981,,991.0,197.16657074731793,199.49730408760425,205.0637049674988
8,42,6,GA_ppSOE,243.89134796292012,,1294.0,217.44177024286316,219.77250358314944,159.1137101650238
9,42,6,IA,376.61397062371566,,413.0,130.64628320327733,132.97701654356368,385.5170891284943
10,42,6,MP,0.10270505973749243,0.09810363739836953,575.0,157.79638923883746,162.45785591941012,1261.3992130756378
11,42,6,MP_ppSOE,0.10201111302271526,0.003939334866206054,562.0,156.05840673015933,160.719873410732,1102.4836509227753
0,43,4,GR,,,0.0,-inf,-inf,0.0
1,43,4,GA,16.666330367447888,,76.0,2.0,4.330733340286331,161.89917087554932
2,43,4,GA_ppSOE,4.038017732089783,,0.0,-inf,-inf,136.7279658317566
3,43,4,IA,2.988039077892468,,0.0,-inf,-inf,176.2927589416504
4,43,4,MP,0.4969639302973043,0.02524269067269183,0.0,-inf,-inf,1306.8616118431094
5,43,4,MP_ppSOE,0.4973358332902084,0.031603143552222504,0.0,-inf,-inf,1209.8659279346464
6,43,6,GR,,,0.0,-inf,-inf,0.0
7,43,6,GA,0.5429220873642837,,0.0,-inf,-inf,247.1884639263153
8,43,6,GA_ppSOE,16.305507204330368,,44.0,-39.537321683973325,-37.20658834368699,231.93756914138797
9,43,6,IA,39.716381486217564,,0.0,-inf,-inf,408.4221451282501
10,43,6,MP,0.4972852093454345,0.04795622223078383,0.0,-inf,-inf,1355.541177034378
11,43,6,MP_ppSOE,0.4979046416503497,0.08741467238489109,0.0,-inf,-inf,1247.5901470184324
0,44,4,GR,,,12346.0,386.6573214776612,386.6573214776612,0.0
1,44,4,GA,7572.487921015487,,1202.0,211.83666688547046,214.1674002257568,110.0954840183258
2,44,4,GA_ppSOE,7512.528683218188,,1102.0,205.2352973564162,207.56603069670254,116.43378806114195
3,44,4,IA,2007.5065801653438,,457.0,138.3402038461984,140.67093718648474,142.84670114517212
4,44,4,MP,0.0025415219359569696,0.003435321084731213,441.0,137.63167667219915,142.2931433527718,1354.2500021457672
5,44,4,MP_ppSOE,0.02058288613099174,0.010289357839493932,449.0,138.99800560665017,143.65947228722285,1136.136991024017
6,44,6,GR,,,25735.0,442.5514880567095,442.5514880567095,0.0
7,44,6,GA,8518.375701579671,,1289.0,217.14753836161708,219.47827170190342,127.98100304603577
8,44,6,GA_ppSOE,7060.264825781826,,1150.0,208.4755749613933,210.80630830167962,138.7119379043579
9,44,6,IA,9745.38289168702,,471.0,140.6334812834866,142.9642146237729,231.46587896347046
10,44,6,MP,0.004178622997719872,0.0030278315391040612,462.0,141.16719786045098,145.8286645410236,1318.2270810604095
11,44,6,MP_ppSOE,0.00923615539094976,0.011409710084119885,468.0,142.14785662798,146.80932330855262,1191.275698184967
0,45,4,GR,,,6483.0,337.64149549326413,337.64149549326413,0.0
1,45,4,GA,113.09674162348543,,1415.0,224.2355117041165,226.56624504440285,135.9060249328613
